English,Portuguese,Masculine,Feminine,Article,Batch
Father,Pai,,,O,0
Son,Filho,,,O,0
Parents,Pais,,,Os,0
Husband,Marido/Esposo,,,O,0
Brother,Irmão,,,O,0
Uncle,Tio,,,O,0
Siblings,Irmãos,,,Os,0
Grandfather,Avô,,,O,0
Grandson,Neto,,,O,0
Grandparents,Avós,,,Os,0
Mother,Mãe,,,A,0
Daughter,Filha,,,A,0
Children,Filhos,,,Os,0
Wife,Mulher/Esposa,,,A,0
Sister,Irmã,,,A,0
Aunt,Tia,,,A,0
Uncles/Aunts,Tios,,,Os,0
GrandMother,Avó,,,A,0
Granddaughter,Neta,,,A,0
Grandchildren,Netos,,,Os,0
Apartment,Apartamento,,,O,0
Modern,Modern,,,O,1
Married,Casad,o,a,,1
Colleague,Coleg,o,a,,1
Today,Hoje,,,,1
Ball,Bola,,,A,1
Plastic,Plástico,,,O,1
Fantastic,Fantástico,,,O,1
Fruit,Fruta,,,A,1
This,Isto,,,,1
A,Uma,,,,1
Bag,Bolsa,,,A,1
Teacher,Professor,,a,,2
Architect,Arquitet,o,a,,2
Town Planner,Urbanista,,,,2
Dentist,Dentista,,,,2
Doctor,Médica,,,,2
Lawyer,Advogad,o,a,,2
Police Officer,policial,,,,2
Salesperson,Vendedor,o,a,,2
Secretary,Secretári,o,a,,2
Waiter,empregad,o,a,,2
Plumber,Canalizador,,a,,2
Farmer,Agricultor,,a,,2
Nurse,enfermeir,o,a,,2
receptionist,rececionista,,,,2
Builder,construtor,,a,,2
Psychologist,Psicólog,o,a,,2
Businessman,Empresário,,,O,2
Businesswoman,Empresária,,,A,2
Journalist,Journalist,,,,2
Well,Bem,,,,3
Surprised,Surpreendid,o,a,,3
Unwell,Mal,,,,3
Willing,dispost,o,a,,3
Tired,Cansad,o,a,,3
Annoyed,Chatead,o,a,,3
Calm,Calm,o,a,,3
Worried,Preocupad,o,a,,3
Angry,Zangad,o,a,,3
Sad,Triste,,,,3
Bored,Aborrecid,o,a,,3
Happy/Content,Feliz,,,,3
Satisified,Satisfeit,o,a,,3
Excited,Excited,o,a,,3
Interested,Interessad,o,a,,3
Warm/hot,Calor,,,,3
Cold,Frio,,,,3
Sleepy,Sono,,,,3
Thirsty,Sede,,,,3
Hungry,Fome,,,,3
Book,Livro,,,O,4
Magazine,Revista,,,O,4
Poetry,Poesia,,,A,4
Pottery,Cerâmica,,,A,4
Photography,Fotografia,,,A,4
Computing,Informática,,,A,4
Computer game,electrônico,,,O,4
Gardening,jardinagem,,,A,4
Dressmaking,Costura,,,A,4
Music,Música,,,A,4
Food,Comida,,,A,5
Meal,refeiçâo,,,A,5
Breakfast,Café da manhã,,,O,5
Lunch,almoço,,,O,5
Snack,lanche,,,O,5
Dinner,Jantar,,,O,5
Supper,Ceia,,,A,5
Light Meal,refeição ligeira,,,A,5
Starter,Entrada,,,A,5
Main Course,prato principal,,,O,5
sweet,sobremesa,,,A,5
desert,doce,,,O,5
fish section,peixes,,,As,5
meat section,carnes,,,Os,5
cheeses,queijos,,,Os,5
drinks,bebidas,,,As,5
Windy,Vento,,,,5
Raining,Chove,,,,5
Clouds,Novens,,,As,5
Thunder,Trovão,,,O,5
Thunderstorm,Trovoadas,,,As,5
Lightning,Relâmpagos,,,Os,5
Snow,Neve,,,A,5
Fog,Nevoeiro,,,O,5
Cyclones,Ciclones,,,Os,5
